,f_name,img_path,xmin,ymin,xmax,ymax,label
12,20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,291,84,323,145,Healthy
13,20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,217,80,276,200,Healthy
14,20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,175,73,227,128,Early_Blight
15,20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,77,69,108,189,Healthy
16,20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,192,260,240,291,Early_Blight
17,20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,34,31,69,102,Early_Blight
18,20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20020531-early%20blight%20%20starts%20on%20lower%20leaves.jpg,303,174,333,269,Healthy
19,20080526-_DSC4211.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20080526-_DSC4211.jpg,19,396,142,531,Early_Blight
20,20080526-_DSC4211.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20080526-_DSC4211.jpg,152,439,239,589,Early_Blight
21,20080526-_DSC4211.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20080526-_DSC4211.jpg,257,424,339,551,Early_Blight
22,20080526-_DSC4211.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20080526-_DSC4211.jpg,112,315,192,387,Early_Blight
23,20080526-_DSC4211.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20080526-_DSC4211.jpg,209,193,270,263,Early_Blight
24,20080526-_DSC4211.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20080526-_DSC4211.jpg,217,71,312,140,Early_Blight
25,20080526-_DSC4211.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20080526-_DSC4211.jpg,355,562,421,678,Early_Blight
26,20080526-_DSC4211.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20080526-_DSC4211.jpg,49,306,114,388,Early_Blight
27,20080526-_DSC4211.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\20080526-_DSC4211.jpg,23,204,103,297,Early_Blight
28,2373320.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\2373320.jpg,105,1,199,91,Early_Blight
29,2373320.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\2373320.jpg,330,144,446,304,Early_Blight
30,2373320.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\2373320.jpg,137,100,422,248,Early_Blight
31,30053_original.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\30053_original.jpg,1,3,499,332,Early_Blight
32,3606630.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\3606630.jpg,15,32,317,216,Early_Blight
33,5086-early.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\5086-early.jpg,80,25,238,284,Early_Blight
34,8%20mistakes%204.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\8%20mistakes%204.jpg,293,84,425,316,Early_Blight
35,8%20mistakes%204.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\8%20mistakes%204.jpg,168,159,309,333,Early_Blight
36,8%20mistakes%204.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\8%20mistakes%204.jpg,86,225,191,333,Early_Blight
37,8950022d45978228d5e44a35183efdb9--tomatoes-dyi.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\8950022d45978228d5e44a35183efdb9--tomatoes-dyi.jpg,6,228,134,301,Early_Blight
38,8950022d45978228d5e44a35183efdb9--tomatoes-dyi.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\8950022d45978228d5e44a35183efdb9--tomatoes-dyi.jpg,1,118,104,189,Early_Blight
39,8950022d45978228d5e44a35183efdb9--tomatoes-dyi.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\8950022d45978228d5e44a35183efdb9--tomatoes-dyi.jpg,127,105,236,155,Early_Blight
40,8950022d45978228d5e44a35183efdb9--tomatoes-dyi.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\8950022d45978228d5e44a35183efdb9--tomatoes-dyi.jpg,182,139,236,218,Early_Blight
41,8950022d45978228d5e44a35183efdb9--tomatoes-dyi.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\8950022d45978228d5e44a35183efdb9--tomatoes-dyi.jpg,111,61,210,100,Early_Blight
42,august-11-early-leaf-blight-single-leaf.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\august-11-early-leaf-blight-single-leaf.jpg,535,667,3557,1810,Early_Blight
43,b54d0e40027ff5e90e8ba7e1e9abf9bd--garden-guide-garden-ideas.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\b54d0e40027ff5e90e8ba7e1e9abf9bd--garden-guide-garden-ideas.jpg,1,2,390,324,Early_Blight
44,BCH%20medium%20thumbnail%20for%20upload%20%2836%29.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\BCH%20medium%20thumbnail%20for%20upload%20%2836%29.jpg,251,68,373,299,Early_Blight
45,BCH%20medium%20thumbnail%20for%20upload%20%2836%29.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\BCH%20medium%20thumbnail%20for%20upload%20%2836%29.jpg,126,75,244,293,Early_Blight
46,BCH%20medium%20thumbnail%20for%20upload%20%2836%29.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\BCH%20medium%20thumbnail%20for%20upload%20%2836%29.jpg,120,16,210,106,Early_Blight
47,BCH%20medium%20thumbnail%20for%20upload%20%2836%29.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\BCH%20medium%20thumbnail%20for%20upload%20%2836%29.jpg,1,54,112,151,Early_Blight
48,blog_early_blight_628.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\blog_early_blight_628.jpg,78,103,257,181,Early_Blight
49,blog_early_blight_628.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\blog_early_blight_628.jpg,295,95,432,257,Early_Blight
50,blog_early_blight_628.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\blog_early_blight_628.jpg,95,204,270,553,Early_Blight
51,blog_early_blight_628.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\blog_early_blight_628.jpg,225,306,371,559,Early_Blight
52,confused-bacterial-canker-early-blight-zoom.JPG.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\confused-bacterial-canker-early-blight-zoom.JPG.jpg,252,90,296,198,Early_Blight
53,confused-bacterial-canker-early-blight-zoom.JPG.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\confused-bacterial-canker-early-blight-zoom.JPG.jpg,45,161,96,279,Early_Blight
54,confused-bacterial-canker-early-blight-zoom.JPG.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\confused-bacterial-canker-early-blight-zoom.JPG.jpg,105,151,151,245,Early_Blight
55,confused-bacterial-canker-early-blight-zoom.JPG.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\confused-bacterial-canker-early-blight-zoom.JPG.jpg,163,100,226,190,Early_Blight
56,confused-bacterial-canker-early-blight-zoom.JPG.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\confused-bacterial-canker-early-blight-zoom.JPG.jpg,27,17,125,76,Early_Blight
57,Diseased-Tomato-Plant.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Diseased-Tomato-Plant.jpg,78,67,364,365,Early_Blight
58,Diseased-Tomato-Plant.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Diseased-Tomato-Plant.jpg,432,14,503,131,Early_Blight
59,Diseased-Tomato-Plant.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Diseased-Tomato-Plant.jpg,519,14,629,346,Early_Blight
60,droppedImage_3-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\droppedImage_3-1.jpg,170,319,282,585,Early_Blight
61,droppedImage_3-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\droppedImage_3-1.jpg,153,249,207,354,Early_Blight
62,droppedImage_3-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\droppedImage_3-1.jpg,105,94,162,220,Early_Blight
63,droppedImage_3-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\droppedImage_3-1.jpg,167,72,246,173,Early_Blight
64,droppedImage_3-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\droppedImage_3-1.jpg,564,175,695,388,Early_Blight
65,droppedImage_3-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\droppedImage_3-1.jpg,464,200,571,372,Early_Blight
66,droppedImage_3-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\droppedImage_3-1.jpg,490,3,590,157,Early_Blight
67,droppedImage_3-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\droppedImage_3-1.jpg,323,48,437,234,Early_Blight
68,droppedImage_3-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\droppedImage_3-1.jpg,309,1,436,123,Early_Blight
69,droppedImage_3-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\droppedImage_3-1.jpg,339,445,403,523,Early_Blight
70,dscn3168.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\dscn3168.jpg,890,1274,1152,1736,Early_Blight
71,dscn3168.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\dscn3168.jpg,1243,1276,1571,1684,Early_Blight
72,dscn3168.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\dscn3168.jpg,2043,1419,2374,1934,Early_Blight
73,dscn3168.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\dscn3168.jpg,274,634,502,1200,Early_Blight
74,dscn3168.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\dscn3168.jpg,1450,531,1726,865,Early_Blight
75,dscn3168.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\dscn3168.jpg,1993,1098,2398,1469,Early_Blight
76,dscn3168.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\dscn3168.jpg,614,1065,919,1281,Early_Blight
77,dscn3168.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\dscn3168.jpg,776,348,952,726,Early_Blight
78,dscn3168.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\dscn3168.jpg,417,65,676,631,Early_Blight
79,ealryblight.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\ealryblight.jpg,19,63,564,671,Early_Blight
80,early%20blight%20%283%29.jpg_itok=UMYWI0xr.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early%20blight%20%283%29.jpg_itok=UMYWI0xr.jpg,1,1,565,392,Early_Blight
81,early%20blight%20%284%29.jpg_itok=gfK5C193.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early%20blight%20%284%29.jpg_itok=gfK5C193.jpg,3,28,567,391,Early_Blight
82,Early+Blight+-+Tomatoes.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early+Blight+-+Tomatoes.jpg,30,23,332,260,Early_Blight
83,early-blight-2x.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-2x.jpg,1,55,449,524,Early_Blight
84,Early-blight-660x440.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early-blight-660x440.jpg,281,18,459,320,Early_Blight
85,Early-blight-660x440.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early-blight-660x440.jpg,101,120,324,440,Early_Blight
86,Early-blight-660x440.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early-blight-660x440.jpg,1,229,109,440,Early_Blight
87,Early-blight-660x440.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early-blight-660x440.jpg,42,1,241,79,Early_Blight
88,early-blight-closeup-sm.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-closeup-sm.jpg,251,81,380,291,Early_Blight
89,early-blight-closeup-sm.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-closeup-sm.jpg,71,41,268,291,Early_Blight
90,early-blight-closeup-sm.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-closeup-sm.jpg,1,53,93,223,Early_Blight
91,early-blight-in-high-tunnel-tomatoes-19tm74h.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-in-high-tunnel-tomatoes-19tm74h.jpg,488,39,2972,2061,Early_Blight
92,early-blight-in-tomatoes.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-in-tomatoes.jpg,27,259,568,855,Early_Blight
93,early-blight-of-tomato-tomato-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-of-tomato-tomato-1.jpg,62,74,299,281,Early_Blight
94,early-blight-of-tomato-tomato-1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-of-tomato-tomato-1.jpg,1,1,152,124,Early_Blight
95,early-blight-or-target-spot-alternaria-solani-lesions-on-a-tomato-BH3TH0.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-or-target-spot-alternaria-solani-lesions-on-a-tomato-BH3TH0.jpg,114,131,947,1265,Early_Blight
96,early-blight-or-target-spot-alternaria-solani-lesions-on-a-tomato-BY9J8R.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-or-target-spot-alternaria-solani-lesions-on-a-tomato-BY9J8R.jpg,4,42,1300,1270,Early_Blight
97,early-blight-pp-labeled_orig.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-pp-labeled_orig.jpg,22,115,148,261,Early_Blight
98,early-blight-pp-labeled_orig.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight-pp-labeled_orig.jpg,147,42,482,332,Early_Blight
99,Early-blight.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early-blight.jpg,5,179,196,288,Early_Blight
100,Early-blight.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early-blight.jpg,134,25,388,141,Early_Blight
101,early-blight1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight1.jpg,1,73,142,286,Early_Blight
102,early-blight1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-blight1.jpg,145,13,297,343,Early_Blight
103,Early-bligh_t.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early-bligh_t.jpg,176,32,530,197,Early_Blight
104,Early-bligh_t.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early-bligh_t.jpg,11,237,266,387,Early_Blight
105,early-tomato-blight.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-tomato-blight.jpg,70,7,149,138,Early_Blight
106,early-tomato-blight.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-tomato-blight.jpg,1,77,69,145,Early_Blight
107,early-tomato-blight.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-tomato-blight.jpg,1,1,70,28,Early_Blight
108,early-tomato-blight.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early-tomato-blight.jpg,1,32,17,73,Early_Blight
109,earlyblight.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\earlyblight.jpg,1,1,156,245,Early_Blight
110,earlyblightpotato.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\earlyblightpotato.jpg,164,18,422,350,Early_Blight
111,earlyblightresize.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\earlyblightresize.jpg,1,40,320,219,Early_Blight
112,earlyblighttomato.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\earlyblighttomato.jpg,39,57,311,455,Early_Blight
113,Early_blight_1.jpg_1376579808.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early_blight_1.jpg_1376579808.jpg,329,338,500,511,Early_Blight
114,Early_blight_1.jpg_1376579808.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early_blight_1.jpg_1376579808.jpg,101,237,254,496,Early_Blight
115,Early_blight_1.jpg_1376579808.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early_blight_1.jpg_1376579808.jpg,224,227,446,440,Early_Blight
116,Early_blight_1.jpg_1376579808.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early_blight_1.jpg_1376579808.jpg,308,76,441,276,Early_Blight
117,Early_blight_1.jpg_1376579808.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early_blight_1.jpg_1376579808.jpg,103,33,323,303,Early_Blight
118,Early_Blight_of_Tomato1687.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early_Blight_of_Tomato1687.jpg,68,292,385,600,Early_Blight
119,Early_Blight_of_Tomato1687.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Early_Blight_of_Tomato1687.jpg,132,2,800,506,Early_Blight
120,early_blight_spots_l.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early_blight_spots_l.jpg,1,47,400,300,Early_Blight
121,early_blight_tomato.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early_blight_tomato.jpg,444,358,515,504,Early_Blight
122,early_blight_tomato.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early_blight_tomato.jpg,536,205,692,316,Early_Blight
123,early_blight_tomato.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\early_blight_tomato.jpg,348,241,437,332,Early_Blight
124,ebleafb.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\ebleafb.jpg,1,102,573,398,Early_Blight
125,eblight5.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\eblight5.jpg,198,78,364,377,Early_Blight
126,eblight5.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\eblight5.jpg,106,36,238,119,Healthy
127,eblight5.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\eblight5.jpg,30,172,96,269,Healthy
128,eblight5.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\eblight5.jpg,1,230,91,370,Healthy
129,EBTomato.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\EBTomato.jpg,5,12,238,450,Early_Blight
130,FS547-2-big.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\FS547-2-big.jpg,1,7,620,395,Early_Blight
131,gn201410308259997ar-jpg.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\gn201410308259997ar-jpg.jpg,123,178,560,353,Early_Blight
132,gn201410308259997ar-jpg.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\gn201410308259997ar-jpg.jpg,662,449,748,604,Early_Blight
133,halleck_tomato_earlyblight__inline-half.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\halleck_tomato_earlyblight__inline-half.jpg,37,27,238,261,Early_Blight
134,IMG_0591.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\IMG_0591.jpg,1,423,1911,1430,Early_Blight
135,IMG_2436w.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\IMG_2436w.jpg,134,144,607,600,Early_Blight
136,IMG_2436w.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\IMG_2436w.jpg,164,34,443,204,Early_Blight
137,MPC105550.jpg.rendition.largest.ss.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\MPC105550.jpg.rendition.largest.ss.jpg,92,64,140,188,Early_Blight
138,MPC105550.jpg.rendition.largest.ss.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\MPC105550.jpg.rendition.largest.ss.jpg,51,68,128,148,Early_Blight
139,MPC105550.jpg.rendition.largest.ss.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\MPC105550.jpg.rendition.largest.ss.jpg,150,72,192,170,Early_Blight
140,Original_e-blight.JPG.rend.hgtvcom.966.725.jpeg.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Original_e-blight.JPG.rend.hgtvcom.966.725.jpeg.jpg,109,1,709,725,Early_Blight
141,p1020083cs.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\p1020083cs.jpg,282,1,666,339,Early_Blight
142,p1020083cs.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\p1020083cs.jpg,1,204,452,596,Early_Blight
143,p1020083cs.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\p1020083cs.jpg,462,289,800,594,Early_Blight
144,p1020084s.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\p1020084s.jpg,277,66,526,255,Early_Blight
145,p1020084s.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\p1020084s.jpg,129,336,306,503,Early_Blight
146,p1020084s.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\p1020084s.jpg,273,388,528,597,Early_Blight
147,p1020084s.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\p1020084s.jpg,515,392,783,594,Early_Blight
148,p1020084s.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\p1020084s.jpg,18,191,154,268,Early_Blight
149,p1020084s.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\p1020084s.jpg,517,158,675,307,Early_Blight
150,p1020084s.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\p1020084s.jpg,614,86,800,364,Early_Blight
151,spotonleaf1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\spotonleaf1.jpg,45,92,126,209,Early_Blight
152,spotonleaf1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\spotonleaf1.jpg,37,37,98,89,Early_Blight
153,spotonleaf1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\spotonleaf1.jpg,191,4,252,110,Early_Blight
154,spotonleaf1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\spotonleaf1.jpg,128,123,216,225,Healthy
155,spotonleaf1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\spotonleaf1.jpg,98,1,169,80,Healthy
156,spotonleaf1.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\spotonleaf1.jpg,227,118,300,225,Healthy
157,Tomato%20early%20blight%20target%20like%20leaf%20spot.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Tomato%20early%20blight%20target%20like%20leaf%20spot.jpg,15,1,235,209,Early_Blight
158,Tomato-Alternaria-Early-Blight.jpg,D:\Programs\8th_Sem_Proj\train\Tomato_Early_blight_leaf\Tomato-Alternaria-Early-Blight.jpg,32,1110,2157,2592,Early_Blight
